client_id,age,job,marital,education,credit_default,mortgage,month,day,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,cons_price_idx,euribor_three_months,campaign_outcome,year,last_contact_date
0,56,housemaid,married,basic_4y,0,0,5.0,13,261,1,0,1,93.994,4.857,0,2024,2024-05-13
1,57,services,married,high_school,,0,5.0,19,149,1,0,1,93.994,4.857,0,2024,2024-05-19
2,37,services,married,high_school,0,1,5.0,23,226,1,0,1,93.994,4.857,0,2024,2024-05-23
3,40,admin_,married,basic_6y,0,0,5.0,27,151,1,0,1,93.994,4.857,0,2024,2024-05-27
4,56,services,married,high_school,0,0,5.0,3,307,1,0,1,93.994,4.857,0,2024,2024-05-03
5,45,services,married,basic_9y,,0,5.0,5,198,1,0,1,93.994,4.857,0,2024,2024-05-05
6,59,admin_,married,professional_course,0,0,5.0,3,139,1,0,1,93.994,4.857,0,2024,2024-05-03
7,41,blue-collar,married,unknown,,0,5.0,12,217,1,0,1,93.994,4.857,0,2024,2024-05-12
8,24,technician,single,professional_course,0,1,5.0,21,380,1,0,1,93.994,4.857,0,2024,2024-05-21
9,25,services,single,high_school,0,1,5.0,5,50,1,0,1,93.994,4.857,0,2024,2024-05-05
10,41,blue-collar,married,unknown,,0,5.0,8,55,1,0,1,93.994,4.857,0,2024,2024-05-08
11,25,services,single,high_school,0,1,5.0,9,222,1,0,1,93.994,4.857,0,2024,2024-05-09
12,29,blue-collar,single,high_school,0,0,5.0,29,137,1,0,1,93.994,4.857,0,2024,2024-05-29
13,57,housemaid,divorced,basic_4y,0,1,5.0,14,293,1,0,1,93.994,4.857,0,2024,2024-05-14
14,35,blue-collar,married,basic_6y,0,1,5.0,29,146,1,0,1,93.994,4.857,0,2024,2024-05-29
15,54,retired,married,basic_9y,,1,5.0,29,174,1,0,1,93.994,4.857,0,2024,2024-05-29
16,35,blue-collar,married,basic_6y,0,1,5.0,1,312,1,0,1,93.994,4.857,0,2024,2024-05-01
17,46,blue-collar,married,basic_6y,,1,5.0,9,440,1,0,1,93.994,4.857,0,2024,2024-05-09
18,50,blue-collar,married,basic_9y,0,1,5.0,6,353,1,0,1,93.994,4.857,0,2024,2024-05-06
19,39,management,single,basic_9y,,0,5.0,2,195,1,0,1,93.994,4.857,0,2024,2024-05-02
20,30,unemployed,married,high_school,0,0,5.0,2,38,1,0,1,93.994,4.857,0,2024,2024-05-02
21,55,blue-collar,married,basic_4y,,1,5.0,16,262,1,0,1,93.994,4.857,0,2024,2024-05-16
22,55,retired,single,high_school,0,1,5.0,20,342,1,0,1,93.994,4.857,0,2024,2024-05-20
23,41,technician,single,high_school,0,1,5.0,10,181,1,0,1,93.994,4.857,0,2024,2024-05-10
