client_id,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,campaign_outcome,last_contact_date
0,261,1,0,1,0,2024-05-13
1,149,1,0,1,0,2024-05-19
2,226,1,0,1,0,2024-05-23
3,151,1,0,1,0,2024-05-27
4,307,1,0,1,0,2024-05-03
5,198,1,0,1,0,2024-05-05
6,139,1,0,1,0,2024-05-03
7,217,1,0,1,0,2024-05-12
8,380,1,0,1,0,2024-05-21
9,50,1,0,1,0,2024-05-05
10,55,1,0,1,0,2024-05-08
11,222,1,0,1,0,2024-05-09
12,137,1,0,1,0,2024-05-29
13,293,1,0,1,0,2024-05-14
14,146,1,0,1,0,2024-05-29
15,174,1,0,1,0,2024-05-29
16,312,1,0,1,0,2024-05-01
17,440,1,0,1,0,2024-05-09
18,353,1,0,1,0,2024-05-06
19,195,1,0,1,0,2024-05-02
20,38,1,0,1,0,2024-05-02
21,262,1,0,1,0,2024-05-16
22,342,1,0,1,0,2024-05-20
23,181,1,0,1,0,2024-05-10
24,172,1,0,1,0,2024-05-02
25,99,1,0,1,0,2024-05-28
26,93,1,0,1,0,2024-05-30
27,233,1,0,1,0,2024-05-16
28,255,2,0,1,0,2024-05-01
29,362,1,0,1,0,2024-05-22
30,348,1,0,1,0,2024-05-22
31,386,1,0,1,0,2024-05-27
32,73,1,0,1,0,2024-05-25
33,230,1,0,1,0,2024-05-14
34,208,1,0,1,0,2024-05-25
35,336,1,0,1,0,2024-05-22
36,365,1,0,1,0,2024-05-11
37,1666,1,0,1,0,2024-05-03
38,577,1,0,1,0,2024-05-02
39,137,1,0,1,0,2024-05-20
40,366,1,0,1,0,2024-05-05
41,314,1,0,1,0,2024-05-25
42,160,1,0,1,0,2024-05-22
43,212,1,0,1,0,2024-05-01
44,188,1,0,1,0,2024-05-17
45,22,1,0,1,0,2024-05-28
46,616,1,0,1,0,2024-05-15
47,178,1,0,1,0,2024-05-03
48,355,1,0,1,0,2024-05-26
49,225,2,0,1,0,2024-05-26
50,160,1,0,1,0,2024-05-03
51,266,1,0,1,0,2024-05-09
52,253,1,0,1,0,2024-05-11
53,179,1,0,1,0,2024-05-13
54,269,2,0,1,0,2024-05-12
55,135,1,0,1,0,2024-05-08
56,161,1,0,1,0,2024-05-17
57,787,1,0,1,0,2024-05-08
58,145,1,0,1,0,2024-05-08
59,174,1,0,1,0,2024-05-18
60,449,1,0,1,0,2024-05-03
61,812,1,0,1,0,2024-05-23
62,164,1,0,1,0,2024-05-27
63,366,1,0,1,0,2024-05-29
64,357,1,0,1,0,2024-05-19
65,232,1,0,1,0,2024-05-15
66,91,1,0,1,0,2024-05-16
67,273,1,0,1,0,2024-05-21
68,158,2,0,1,0,2024-05-29
69,177,1,0,1,0,2024-05-04
70,200,1,0,1,0,2024-05-28
71,172,1,0,1,0,2024-05-26
72,176,1,0,1,0,2024-05-18
73,211,1,0,1,0,2024-05-14
74,214,1,0,1,0,2024-05-26
75,1575,1,0,1,1,2024-05-20
76,349,1,0,1,0,2024-05-16
77,337,2,0,1,0,2024-05-28
78,272,1,0,1,0,2024-05-30
79,208,1,0,1,0,2024-05-21
80,193,1,0,1,0,2024-05-29
81,212,1,0,1,0,2024-05-29
82,165,2,0,1,0,2024-05-27
83,1042,1,0,1,1,2024-05-06
84,20,1,0,1,0,2024-05-23
85,246,1,0,1,0,2024-05-12
86,529,2,0,1,0,2024-05-23
87,192,1,0,1,0,2024-05-21
88,1467,1,0,1,1,2024-05-19
89,188,2,0,1,0,2024-05-17
90,180,2,0,1,0,2024-05-29
91,48,1,0,1,0,2024-05-05
92,213,2,0,1,0,2024-05-02
93,545,1,0,1,0,2024-05-27
94,583,1,0,1,0,2024-05-28
95,221,1,0,1,0,2024-05-25
96,426,1,0,1,0,2024-05-17
97,287,1,0,1,0,2024-05-27
98,197,1,0,1,0,2024-05-30
