client_id,age,job,marital,education,credit_default,mortgage
0,56,housemaid,married,basic_4y,0,0
1,57,services,married,high_school,,0
2,37,services,married,high_school,0,1
3,40,admin_,married,basic_6y,0,0
4,56,services,married,high_school,0,0
5,45,services,married,basic_9y,,0
6,59,admin_,married,professional_course,0,0
7,41,blue-collar,married,unknown,,0
8,24,technician,single,professional_course,0,1
9,25,services,single,high_school,0,1
10,41,blue-collar,married,unknown,,0
11,25,services,single,high_school,0,1
12,29,blue-collar,single,high_school,0,0
13,57,housemaid,divorced,basic_4y,0,1
14,35,blue-collar,married,basic_6y,0,1
15,54,retired,married,basic_9y,,1
16,35,blue-collar,married,basic_6y,0,1
17,46,blue-collar,married,basic_6y,,1
18,50,blue-collar,married,basic_9y,0,1
19,39,management,single,basic_9y,,0
20,30,unemployed,married,high_school,0,0
21,55,blue-collar,married,basic_4y,,1
22,55,retired,single,high_school,0,1
23,41,technician,single,high_school,0,1
24,37,admin_,married,high_school,0,1
25,35,technician,married,university_degree,0,0
26,59,technician,married,unknown,0,1
27,39,self-employed,married,basic_9y,,0
28,54,technician,single,university_degree,,0
29,55,unknown,married,university_degree,,
30,46,admin_,married,unknown,0,0
31,59,technician,married,unknown,0,1
32,49,blue-collar,married,unknown,0,0
33,54,management,married,basic_4y,,1
34,54,blue-collar,divorced,basic_4y,0,0
35,55,unknown,married,basic_4y,,1
36,34,services,married,high_school,0,0
37,52,technician,married,basic_9y,0,1
38,41,admin_,married,university_degree,0,1
39,56,technician,married,basic_4y,0,1
40,58,management,unknown,university_degree,0,1
41,32,entrepreneur,married,high_school,0,1
42,38,admin_,single,professional_course,0,0
43,57,admin_,married,university_degree,0,0
44,44,admin_,married,university_degree,,1
45,42,technician,single,professional_course,,0
46,57,admin_,married,university_degree,0,1
47,40,blue-collar,married,basic_9y,0,0
48,35,admin_,married,university_degree,0,1
49,45,blue-collar,married,basic_9y,0,1
50,54,admin_,married,high_school,0,0
51,39,housemaid,married,basic_4y,0,0
52,60,admin_,married,high_school,0,0
53,53,admin_,single,professional_course,0,0
54,55,blue-collar,married,basic_4y,,0
55,55,technician,married,professional_course,,1
56,50,management,married,university_degree,,0
57,45,services,married,high_school,,1
58,55,unemployed,married,professional_course,,1
59,25,technician,single,university_degree,0,1
